2024-10-08 22:00:23,507 - ==> Logging on master GPU: 0
2024-10-08 22:00:23,507 - ==> Running Trainer: CLSTrainer
2024-10-08 22:00:23,507 - ==> Using GPU: [0, 1, 2, 3, 4, 5, 6, 7] for Training
2024-10-08 22:00:23,507 - ==> Building model
2024-10-08 22:00:24,930 - ==> Creating optimizer
2024-10-08 22:00:24,935 - ==> Native DDP
2024-10-08 22:00:25,194 - ==> Loading dataset: ImageFolderLMDB
2024-10-08 22:00:25,259 - ==> ********** cfg ********** 
seed                                 : 42                                  
2024-10-08 22:01:38,763 - Train: 0.16% [600/375300]  [0.5/300.0] [batch_t 0.104 (0.111)] [data_t 0.004] [optim_t 0.100] [lr 0.000075] [CE 6.803 (6.819)] [KD 0.000 (0.000)]
2024-10-08 22:01:44,257 - Train: 0.17% [650/375300]  [0.5/300.0] [batch_t 0.106 (0.110)] [data_t 0.004] [optim_t 0.102] [lr 0.000081] [CE 6.821 (6.811)] [KD 0.000 (0.000)]
2024-10-08 22:01:49,785 - Train: 0.19% [700/375300]  [0.6/300.0] [batch_t 0.106 (0.110)] [data_t 0.004] [optim_t 0.102] [lr 0.000087] [CE 6.766 (6.798)] [KD 0.000 (0.000)]
2024-10-08 22:01:55,439 - Train: 0.20% [750/375300]  [0.6/300.0] [batch_t 0.111 (0.113)] [data_t 0.005] [optim_t 0.106] [lr 0.000093] [CE 6.764 (6.783)] [KD 0.000 (0.000)]
2024-10-08 22:02:01,029 - Train: 0.21% [800/375300]  [0.6/300.0] [batch_t 0.111 (0.112)] [data_t 0.004] [optim_t 0.107] [lr 0.000099] [CE 6.826 (6.763)] [KD 0.000 (0.000)]
2024-10-08 22:02:06,406 - Train: 0.23% [850/375300]  [0.7/300.0] [batch_t 0.107 (0.107)] [data_t 0.004] [optim_t 0.103] [lr 0.000105] [CE 6.769 (6.747)] [KD 0.000 (0.000)]
2024-10-08 22:02:12,069 - Train: 0.24% [900/375300]  [0.7/300.0] [batch_t 0.118 (0.113)] [data_t 0.004] [optim_t 0.114] [lr 0.000111] [CE 6.675 (6.733)] [KD 0.000 (0.000)]
2024-10-08 22:02:17,494 - Train: 0.25% [950/375300]  [0.8/300.0] [batch_t 0.113 (0.108)] [data_t 0.004] [optim_t 0.109] [lr 0.000117] [CE 6.703 (6.717)] [KD 0.000 (0.000)]
2024-10-08 22:02:22,963 - Train: 0.27% [1000/375300]  [0.8/300.0] [batch_t 0.109 (0.109)] [data_t 0.004] [optim_t 0.105] [lr 0.000123] [CE 6.655 (6.701)] [KD 0.000 (0.000)]
2024-10-08 22:02:28,430 - Train: 0.28% [1050/375300]  [0.8/300.0] [batch_t 0.113 (0.109)] [data_t 0.004] [optim_t 0.109] [lr 0.000129] [CE 6.742 (6.684)] [KD 0.000 (0.000)]
2024-10-08 22:02:34,094 - Train: 0.29% [1100/375300]  [0.9/300.0] [batch_t 0.114 (0.113)] [data_t 0.004] [optim_t 0.110] [lr 0.000135] [CE 6.652 (6.667)] [KD 0.000 (0.000)]
2024-10-08 22:02:39,674 - Train: 0.31% [1150/375300]  [0.9/300.0] [batch_t 0.116 (0.111)] [data_t 0.004] [optim_t 0.112] [lr 0.000141] [CE 6.687 (6.654)] [KD 0.000 (0.000)]
2024-10-08 22:02:45,309 - Train: 0.32% [1200/375300]  [1.0/300.0] [batch_t 0.104 (0.113)] [data_t 0.004] [optim_t 0.100] [lr 0.000147] [CE 6.589 (6.634)] [KD 0.000 (0.000)]
2024-10-08 22:02:50,972 - Train: 0.33% [1250/375300]  [1.0/300.0] [batch_t 0.099 (0.113)] [data_t 0.004] [optim_t 0.096] [lr 0.000153] [CE 6.580 (6.630)] [KD 0.000 (0.000)]
2024-10-08 22:02:51,070 - ==> Total time: 0:02:28	 Eta: 12:21:24 	Logged in 'runs/mobilemamba/CLSTrainer_MobileMamba_B1_ImageFolderLMDB_20241008-220023'
2024-10-08 22:02:58,693 - Train: 0.35% [1300/375300]  [1.0/300.0] [batch_t 0.111 (0.127)] [data_t 0.004] [optim_t 0.107] [lr 0.000159] [CE 6.530 (6.597)] [KD 0.000 (0.000)]
2024-10-08 22:03:04,371 - Train: 0.36% [1350/375300]  [1.1/300.0] [batch_t 0.121 (0.113)] [data_t 0.004] [optim_t 0.117] [lr 0.000165] [CE 6.522 (6.588)] [KD 0.000 (0.000)]
2024-10-08 22:03:09,929 - Train: 0.37% [1400/375300]  [1.1/300.0] [batch_t 0.115 (0.111)] [data_t 0.004] [optim_t 0.110] [lr 0.000171] [CE 6.467 (6.569)] [KD 0.000 (0.000)]
2024-10-08 22:03:15,706 - Train: 0.39% [1450/375300]  [1.2/300.0] [batch_t 0.106 (0.115)] [data_t 0.004] [optim_t 0.102] [lr 0.000177] [CE 6.580 (6.557)] [KD 0.000 (0.000)]
2024-10-08 22:03:21,630 - Train: 0.40% [1500/375300]  [1.2/300.0] [batch_t 0.110 (0.118)] [data_t 0.004] [optim_t 0.106] [lr 0.000183] [CE 6.558 (6.541)] [KD 0.000 (0.000)]
2024-10-08 22:03:27,257 - Train: 0.41% [1550/375300]  [1.2/300.0] [batch_t 0.109 (0.112)] [data_t 0.004] [optim_t 0.105] [lr 0.000189] [CE 6.555 (6.534)] [KD 0.000 (0.000)]
2024-10-08 22:03:32,948 - Train: 0.43% [1600/375300]  [1.3/300.0] [batch_t 0.112 (0.114)] [data_t 0.004] [optim_t 0.108] [lr 0.000195] [CE 6.522 (6.506)] [KD 0.000 (0.000)]
2024-10-08 22:03:38,587 - Train: 0.44% [1650/375300]  [1.3/300.0] [batch_t 0.110 (0.113)] [data_t 0.004] [optim_t 0.105] [lr 0.000201] [CE 6.458 (6.481)] [KD 0.000 (0.000)]
2024-10-08 22:03:44,201 - Train: 0.45% [1700/375300]  [1.4/300.0] [batch_t 0.107 (0.112)] [data_t 0.004] [optim_t 0.103] [lr 0.000207] [CE 6.460 (6.476)] [KD 0.000 (0.000)]
2024-10-08 22:03:50,024 - Train: 0.47% [1750/375300]  [1.4/300.0] [batch_t 0.107 (0.116)] [data_t 0.004] [optim_t 0.103] [lr 0.000213] [CE 6.482 (6.449)] [KD 0.000 (0.000)]
2024-10-08 22:03:55,587 - Train: 0.48% [1800/375300]  [1.4/300.0] [batch_t 0.114 (0.111)] [data_t 0.004] [optim_t 0.110] [lr 0.000218] [CE 6.436 (6.436)] [KD 0.000 (0.000)]
2024-10-08 22:04:01,205 - Train: 0.49% [1850/375300]  [1.5/300.0] [batch_t 0.111 (0.112)] [data_t 0.004] [optim_t 0.107] [lr 0.000224] [CE 6.425 (6.415)] [KD 0.000 (0.000)]
2024-10-08 22:04:06,864 - Train: 0.51% [1900/375300]  [1.5/300.0] [batch_t 0.123 (0.113)] [data_t 0.004] [optim_t 0.118] [lr 0.000230] [CE 6.447 (6.412)] [KD 0.000 (0.000)]
2024-10-08 22:04:12,628 - Train: 0.52% [1950/375300]  [1.6/300.0] [batch_t 0.113 (0.115)] [data_t 0.004] [optim_t 0.109] [lr 0.000236] [CE 6.296 (6.379)] [KD 0.000 (0.000)]
2024-10-08 22:04:18,361 - Train: 0.53% [2000/375300]  [1.6/300.0] [batch_t 0.109 (0.115)] [data_t 0.004] [optim_t 0.105] [lr 0.000242] [CE 6.450 (6.368)] [KD 0.000 (0.000)]
2024-10-08 22:04:23,929 - Train: 0.55% [2050/375300]  [1.6/300.0] [batch_t 0.109 (0.111)] [data_t 0.004] [optim_t 0.105] [lr 0.000248] [CE 6.363 (6.361)] [KD 0.000 (0.000)]
2024-10-08 22:04:29,599 - Train: 0.56% [2100/375300]  [1.7/300.0] [batch_t 0.112 (0.113)] [data_t 0.004] [optim_t 0.108] [lr 0.000254] [CE 6.394 (6.354)] [KD 0.000 (0.000)]
2024-10-08 22:04:35,249 - Train: 0.57% [2150/375300]  [1.7/300.0] [batch_t 0.106 (0.113)] [data_t 0.004] [optim_t 0.102] [lr 0.000260] [CE 6.243 (6.311)] [KD 0.000 (0.000)]
2024-10-08 22:04:41,057 - Train: 0.59% [2200/375300]  [1.8/300.0] [batch_t 0.107 (0.116)] [data_t 0.004] [optim_t 0.103] [lr 0.000266] [CE 6.287 (6.313)] [KD 0.000 (0.000)]
2024-10-08 22:04:46,987 - Train: 0.60% [2250/375300]  [1.8/300.0] [batch_t 0.118 (0.119)] [data_t 0.004] [optim_t 0.113] [lr 0.000272] [CE 6.337 (6.297)] [KD 0.000 (0.000)]
2024-10-08 22:04:52,863 - Train: 0.61% [2300/375300]  [1.8/300.0] [batch_t 0.112 (0.117)] [data_t 0.004] [optim_t 0.108] [lr 0.000278] [CE 6.291 (6.259)] [KD 0.000 (0.000)]
2024-10-08 22:04:58,537 - Train: 0.63% [2350/375300]  [1.9/300.0] [batch_t 0.113 (0.113)] [data_t 0.004] [optim_t 0.109] [lr 0.000284] [CE 6.109 (6.258)] [KD 0.000 (0.000)]
2024-10-08 22:05:04,085 - Train: 0.64% [2400/375300]  [1.9/300.0] [batch_t 0.107 (0.111)] [data_t 0.004] [optim_t 0.102] [lr 0.000290] [CE 6.253 (6.220)] [KD 0.000 (0.000)]
2024-10-08 22:05:09,750 - Train: 0.65% [2450/375300]  [2.0/300.0] [batch_t 0.115 (0.113)] [data_t 0.004] [optim_t 0.111] [lr 0.000296] [CE 6.085 (6.200)] [KD 0.000 (0.000)]
2024-10-08 22:05:15,594 - Train: 0.67% [2500/375300]  [2.0/300.0] [batch_t 0.102 (0.117)] [data_t 0.004] [optim_t 0.098] [lr 0.000302] [CE 6.186 (6.211)] [KD 0.000 (0.000)]
2024-10-08 22:05:15,802 - ==> Total time: 0:04:53	 Eta: 12:08:53 	Logged in 'runs/mobilemamba/CLSTrainer_MobileMamba_B1_ImageFolderLMDB_20241008-220023'
2024-10-08 22:05:23,247 - Train: 0.68% [2550/375300]  [2.0/300.0] [batch_t 0.120 (0.128)] [data_t 0.004] [optim_t 0.116] [lr 0.000308] [CE 6.237 (6.190)] [KD 0.000 (0.000)]
2024-10-08 22:05:29,019 - Train: 0.69% [2600/375300]  [2.1/300.0] [batch_t 0.124 (0.115)] [data_t 0.004] [optim_t 0.120] [lr 0.000314] [CE 6.176 (6.177)] [KD 0.000 (0.000)]
2024-10-08 22:05:34,603 - Train: 0.71% [2650/375300]  [2.1/300.0] [batch_t 0.112 (0.112)] [data_t 0.004] [optim_t 0.108] [lr 0.000320] [CE 6.240 (6.112)] [KD 0.000 (0.000)]
2024-10-08 22:05:40,236 - Train: 0.72% [2700/375300]  [2.2/300.0] [batch_t 0.113 (0.113)] [data_t 0.004] [optim_t 0.109] [lr 0.000326] [CE 6.169 (6.140)] [KD 0.000 (0.000)]
2024-10-08 22:05:46,075 - Train: 0.73% [2750/375300]  [2.2/300.0] [batch_t 0.107 (0.117)] [data_t 0.004] [optim_t 0.103] [lr 0.000332] [CE 6.047 (6.142)] [KD 0.000 (0.000)]
2024-10-08 22:05:51,778 - Train: 0.75% [2800/375300]  [2.2/300.0] [batch_t 0.118 (0.114)] [data_t 0.004] [optim_t 0.113] [lr 0.000338] [CE 6.134 (6.116)] [KD 0.000 (0.000)]
2024-10-08 22:05:57,516 - Train: 0.76% [2850/375300]  [2.3/300.0] [batch_t 0.106 (0.115)] [data_t 0.004] [optim_t 0.102] [lr 0.000344] [CE 6.109 (6.086)] [KD 0.000 (0.000)]
2024-10-08 22:06:03,257 - Train: 0.77% [2900/375300]  [2.3/300.0] [batch_t 0.116 (0.115)] [data_t 0.004] [optim_t 0.112] [lr 0.000350] [CE 6.085 (6.049)] [KD 0.000 (0.000)]
2024-10-08 22:06:09,011 - Train: 0.79% [2950/375300]  [2.4/300.0] [batch_t 0.109 (0.115)] [data_t 0.004] [optim_t 0.104] [lr 0.000356] [CE 6.186 (6.063)] [KD 0.000 (0.000)]
2024-10-08 22:06:14,726 - Train: 0.80% [3000/375300]  [2.4/300.0] [batch_t 0.110 (0.114)] [data_t 0.004] [optim_t 0.106] [lr 0.000362] [CE 6.225 (6.060)] [KD 0.000 (0.000)]
2024-10-08 22:06:20,646 - Train: 0.81% [3050/375300]  [2.4/300.0] [batch_t 0.106 (0.118)] [data_t 0.004] [optim_t 0.101] [lr 0.000368] [CE 6.021 (6.041)] [KD 0.000 (0.000)]
2024-10-08 22:06:26,417 - Train: 0.83% [3100/375300]  [2.5/300.0] [batch_t 0.108 (0.115)] [data_t 0.004] [optim_t 0.104] [lr 0.000374] [CE 6.167 (6.030)] [KD 0.000 (0.000)]
2024-10-08 22:06:32,190 - Train: 0.84% [3150/375300]  [2.5/300.0] [batch_t 0.112 (0.115)] [data_t 0.004] [optim_t 0.108] [lr 0.000380] [CE 5.797 (6.019)] [KD 0.000 (0.000)]
2024-10-08 22:06:37,860 - Train: 0.85% [3200/375300]  [2.6/300.0] [batch_t 0.111 (0.113)] [data_t 0.004] [optim_t 0.107] [lr 0.000386] [CE 5.952 (5.990)] [KD 0.000 (0.000)]
2024-10-08 22:06:43,529 - Train: 0.87% [3250/375300]  [2.6/300.0] [batch_t 0.107 (0.113)] [data_t 0.004] [optim_t 0.103] [lr 0.000392] [CE 5.930 (5.992)] [KD 0.000 (0.000)]
2024-10-08 22:06:49,343 - Train: 0.88% [3300/375300]  [2.6/300.0] [batch_t 0.117 (0.116)] [data_t 0.004] [optim_t 0.113] [lr 0.000398] [CE 5.858 (5.968)] [KD 0.000 (0.000)]
2024-10-08 22:06:54,904 - Train: 0.89% [3350/375300]  [2.7/300.0] [batch_t 0.123 (0.111)] [data_t 0.004] [optim_t 0.119] [lr 0.000404] [CE 5.894 (5.972)] [KD 0.000 (0.000)]
2024-10-08 22:07:00,690 - Train: 0.91% [3400/375300]  [2.7/300.0] [batch_t 0.124 (0.116)] [data_t 0.004] [optim_t 0.120] [lr 0.000410] [CE 5.995 (5.976)] [KD 0.000 (0.000)]
2024-10-08 22:07:06,379 - Train: 0.92% [3450/375300]  [2.8/300.0] [batch_t 0.117 (0.114)] [data_t 0.004] [optim_t 0.113] [lr 0.000416] [CE 5.958 (5.899)] [KD 0.000 (0.000)]
2024-10-08 22:07:12,162 - Train: 0.93% [3500/375300]  [2.8/300.0] [batch_t 0.119 (0.116)] [data_t 0.004] [optim_t 0.115] [lr 0.000422] [CE 5.939 (5.918)] [KD 0.000 (0.000)]
2024-10-08 22:07:17,894 - Train: 0.95% [3550/375300]  [2.8/300.0] [batch_t 0.115 (0.115)] [data_t 0.004] [optim_t 0.110] [lr 0.000428] [CE 6.122 (5.881)] [KD 0.000 (0.000)]
2024-10-08 22:07:23,810 - Train: 0.96% [3600/375300]  [2.9/300.0] [batch_t 0.109 (0.118)] [data_t 0.004] [optim_t 0.104] [lr 0.000434] [CE 5.775 (5.859)] [KD 0.000 (0.000)]
2024-10-08 22:07:29,546 - Train: 0.97% [3650/375300]  [2.9/300.0] [batch_t 0.108 (0.115)] [data_t 0.004] [optim_t 0.104] [lr 0.000440] [CE 5.738 (5.873)] [KD 0.000 (0.000)]
2024-10-08 22:07:35,261 - Train: 0.99% [3700/375300]  [3.0/300.0] [batch_t 0.111 (0.114)] [data_t 0.004] [optim_t 0.107] [lr 0.000446] [CE 5.881 (5.890)] [KD 0.000 (0.000)]
2024-10-08 22:07:40,983 - Train: 1.00% [3750/375300]  [3.0/300.0] [batch_t 0.105 (0.114)] [data_t 0.004] [optim_t 0.101] [lr 0.000452] [CE 5.793 (5.871)] [KD 0.000 (0.000)]
2024-10-08 22:07:41,282 - ==> Total time: 0:07:18	 Eta: 12:04:20 	Logged in 'runs/mobilemamba/CLSTrainer_MobileMamba_B1_ImageFolderLMDB_20241008-220023'
2024-10-08 22:07:49,161 - Train: 1.01% [3800/375300]  [3.0/300.0] [batch_t 0.114 (0.126)] [data_t 0.004] [optim_t 0.110] [lr 0.000458] [CE 5.624 (5.850)] [KD 0.000 (0.000)]
2024-10-08 22:07:54,734 - Train: 1.03% [3850/375300]  [3.1/300.0] [batch_t 0.107 (0.111)] [data_t 0.004] [optim_t 0.103] [lr 0.000464] [CE 5.924 (5.830)] [KD 0.000 (0.000)]
2024-10-08 22:08:00,511 - Train: 1.04% [3900/375300]  [3.1/300.0] [batch_t 0.110 (0.115)] [data_t 0.004] [optim_t 0.106] [lr 0.000470] [CE 5.711 (5.846)] [KD 0.000 (0.000)]
2024-10-08 22:08:06,377 - Train: 1.05% [3950/375300]  [3.2/300.0] [batch_t 0.111 (0.117)] [data_t 0.004] [optim_t 0.106] [lr 0.000476] [CE 5.934 (5.837)] [KD 0.000 (0.000)]
2024-10-08 22:08:12,183 - Train: 1.07% [4000/375300]  [3.2/300.0] [batch_t 0.104 (0.116)] [data_t 0.004] [optim_t 0.100] [lr 0.000482] [CE 5.939 (5.801)] [KD 0.000 (0.000)]
2024-10-08 22:08:17,942 - Train: 1.08% [4050/375300]  [3.2/300.0] [batch_t 0.121 (0.115)] [data_t 0.004] [optim_t 0.117] [lr 0.000488] [CE 5.708 (5.805)] [KD 0.000 (0.000)]
2024-10-08 22:08:23,972 - Train: 1.09% [4100/375300]  [3.3/300.0] [batch_t 0.115 (0.121)] [data_t 0.004] [optim_t 0.111] [lr 0.000494] [CE 5.923 (5.836)] [KD 0.000 (0.000)]
2024-10-08 22:08:29,947 - Train: 1.11% [4150/375300]  [3.3/300.0] [batch_t 0.116 (0.119)] [data_t 0.005] [optim_t 0.111] [lr 0.000500] [CE 5.674 (5.814)] [KD 0.000 (0.000)]
2024-10-08 22:08:35,956 - Train: 1.12% [4200/375300]  [3.4/300.0] [batch_t 0.115 (0.120)] [data_t 0.004] [optim_t 0.111] [lr 0.000506] [CE 5.655 (5.742)] [KD 0.000 (0.000)]
2024-10-08 22:08:41,838 - Train: 1.13% [4250/375300]  [3.4/300.0] [batch_t 0.129 (0.117)] [data_t 0.004] [optim_t 0.125] [lr 0.000512] [CE 5.625 (5.758)] [KD 0.000 (0.000)]
2024-10-08 22:08:47,981 - Train: 1.15% [4300/375300]  [3.4/300.0] [batch_t 0.116 (0.123)] [data_t 0.004] [optim_t 0.112] [lr 0.000518] [CE 5.464 (5.788)] [KD 0.000 (0.000)]
2024-10-08 22:08:53,905 - Train: 1.16% [4350/375300]  [3.5/300.0] [batch_t 0.116 (0.118)] [data_t 0.004] [optim_t 0.111] [lr 0.000524] [CE 5.804 (5.686)] [KD 0.000 (0.000)]
2024-10-08 22:08:59,962 - Train: 1.17% [4400/375300]  [3.5/300.0] [batch_t 0.124 (0.121)] [data_t 0.004] [optim_t 0.120] [lr 0.000530] [CE 5.613 (5.702)] [KD 0.000 (0.000)]
2024-10-08 22:09:05,963 - Train: 1.19% [4450/375300]  [3.6/300.0] [batch_t 0.117 (0.120)] [data_t 0.004] [optim_t 0.113] [lr 0.000536] [CE 5.712 (5.700)] [KD 0.000 (0.000)]
